,f,c,正面,側面,斜面,高い,低い,近い,遠い,直線,曲線,森林,駅,畑,鉄橋,踏切,車両,,,,,,
2016/12/2,99,,,,1,,1,1,,1,,,1,,,,183,113y,,,,,
2016/12/1,104,,,,1,1,,,1,1,,,1,,,,dd51,24h,,,,,
2016/11/29,92,,,,1,1,,,1,1,,1,,,,,165,,,,,,
2016/11/25,111,,1,,,,1,1,,,1,,,,,,ed76,24,,,,,
2016/11/22,115,,,,1,1,,,1,1,,,1,,,,dc22,dc40,de10,14,,,
2016/11/20,91,,,,1,,1,,1,1,,1,,1,,,183,,,,,,
2016/11/19,89,,,,1,1,,,1,1,,,1,,,,ef65,24,,,,,
2016/11/17,83,,,,1,,1,,1,1,,,1,,,,14,165,,,,,
2016/11/13,114,1,,,1,1,,,1,1,,,1,,,,115,old_pc,,,,,
2016/11/10,100,2,,1,,,1,1,,,,,1,,,,115,,,,,,
2016/11/8,99,,,1,,,1,1,,1,,,,,1,,457,,,,,,
2016/11/6,88,,1,,,1,,,1,1,,1,,,,,115,,,,,,
2016/11/4,85,1,,,1,,1,,1,1,,,1,,,,113,,,,,,
2016/11/2,101,,,,1,1,,,1,,1,,1,1,,1,183,,,,,,
2016/10/31,89,,1,,,,1,1,,,1,,,,,,165,,,,,,
2016/10/29,105,,1,,,1,,1,,1,,,1,,,,113,,,,,,
2016/10/27,93,,,,1,1,,,1,1,,,1,,,,183,113,,,,,
2016/10/25,87,1,1,,,,1,1,,1,,1,,,,,ed78,old_pc,,,,,
2016/10/22,93,,,,1,1,,1,,1,,,,,,,115,,,,,,
2016/10/19,88,2,,,1,,1,1,,1,,,,,1,,nse,,,,,,
2016/10/17,79,1,,,1,,1,1,,1,,,,,,,ef64_10,old_pc,,,,,
2016/10/15,92,,,,1,,1,1,,1,,,,,,,ed78,fre,,,,,
2016/10/12,78,,,,1,1,,,1,1,,,1,,,,dd51,24h,,,,,
2016/10/10,106,,,,1,,1,,1,1,,,1,,,,583,,,,,,
2016/10/8,101,,,,1,,1,1,,1,,,,,1,,165,,,,,,
2016/10/5,97,1,,,1,,1,1,,1,,,1,,,,24h,,,,,,
2016/10/3,81,2,,1,,,1,,1,1,,1,,,,1,ed76,20,,,,,
2016/10/1,99,1,,1,,,1,,1,,1,,,,1,,dd51,14,,,,,
2016/9/28,91,,,,1,1,,,1,1,,,1,,,,457,dc80,,,,,
2016/9/26,99,,,,1,,1,,1,1,,,1,,,,ef62,fre,,,,,
2016/9/22,133,,,,1,1,,,1,1,,,1,,,,115,iida,165,,,,
2016/9/20,79,,1,,,,1,1,,1,,,1,,,,ef65,24,153,,,,
2016/9/18,99,1,,1,,,1,,1,,1,,,1,,,ef81,24h,,,,,
2016/9/16,92,,,,1,,1,,1,1,,1,,,,,de10,14,,,,,
2016/9/14,87,,,1,,,1,1,,1,,,1,,,,dc22,,,,,,
2016/9/12,79,1,,,1,1,,,1,1,,1,,,,,165,,,,,,
2016/9/9,74,,1,,,,1,1,,1,,,1,,,,ef63,165,ef62,fre,,,
2016/9/7,102,2,1,,,1,,,1,1,,,1,,1,,457,old_pc,,,,,
2016/9/5,77,,,,1,,1,,1,1,,1,,,,1,20,,,,,,
2016/9/3,79,,,1,,1,,,1,1,,1,,,,1,ed76,24,,,,,
2016/9/1,80,1,,,1,1,,,1,1,,,1,,,,ef65,24,153,,,,
2016/8/30,101,,,,1,,1,1,,1,,,1,,,,c62,20,dc30,,,,
2016/8/28,85,,,,1,1,,,1,1,,,1,,1,,14,165,,,,,
2016/8/26,102,,1,,,1,,,1,1,,,1,,,,185,165,113,dd51,,,
2016/8/25,100,,,1,,1,,,1,1,,1,,,1,1,14,dd51,,,,,
2016/8/23,87,1,,,1,,1,,1,,1,,,1,,,165,,,,,,
2016/8/21,88,,1,,,1,,,1,1,,1,1,,,1,115,iida,165,dd51,,,
2016/8/19,73,,,1,,,1,1,,1,,,,,1,,dc22,,,,,,
2016/8/17,89,,,1,,1,,,1,1,,,1,,,,dd51,nimotu,14,dc58,,,
2016/8/15,82,1,,1,,1,,,1,1,,1,,,,1,dd51,24h,,,,,
2016/8/11,115,1,1,,,1,,,1,1,,1,,,,1,d51,fre,dc22,,,,
2016/8/9,84,,,,1,1,,,1,1,,1,,,,,153,,,,,,
2016/8/7,90,,,,1,1,,,1,,1,,,,1,,nse,,,,,,
2016/8/5,84,,,,1,1,,,1,1,,1,,,,1,10,ef58,,,,,
2016/8/2,93,,,,1,,1,1,,1,,,,,1,,de10,14,,,,,
2016/8/1,70,,,,1,,1,,1,,1,,,,,,ef66,fre,,,,,
2016/7/29,78,,,1,,1,,,1,1,,,,,1,,ef65,24,,,,,
2016/7/28,97,1,,,1,,1,1,,1,,,1,,,,c62,20,dc30,,,,
2016/7/26,116,,,,1,,1,1,,1,,,,,1,,dc22,,,,,,
2016/7/24,134,,1,,,1,,1,,1,,,1,,,,165,113,,,,,
2016/7/22,84,,,,1,1,,,1,,1,,,1,,,14,de10,,,,,
2016/7/21,106,,,,1,,1,1,,1,,,1,,,,ef65pf,14,165,,,,
